"exp_value","b","sim","Static_exp"
1,25,1,TRUE
2,25,1,TRUE
1,25,2,FALSE
2,25,2,FALSE
1,25,3,FALSE
2,25,3,FALSE
1,25,4,TRUE
2,25,4,TRUE
1,25,5,TRUE
2,25,5,TRUE
1,25,6,TRUE
2,25,6,TRUE
1,25,7,TRUE
2,25,7,TRUE
1,25,8,TRUE
2,25,8,TRUE
1,25,9,TRUE
2,25,9,TRUE
1,25,10,TRUE
2,25,10,TRUE
1,25,11,FALSE
2,25,11,FALSE
1,25,12,TRUE
2,25,12,TRUE
1,25,13,TRUE
2,25,13,TRUE
1,25,14,TRUE
2,25,14,TRUE
1,25,15,TRUE
2,25,15,TRUE
1,25,16,TRUE
2,25,16,TRUE
1,25,17,TRUE
2,25,17,TRUE
1,25,18,TRUE
2,25,18,TRUE
1,25,19,TRUE
2,25,19,TRUE
1,25,20,TRUE
2,25,20,TRUE
1,25,21,TRUE
2,25,21,TRUE
1,25,22,TRUE
2,25,22,TRUE
1,25,23,TRUE
2,25,23,TRUE
1,25,24,TRUE
2,25,24,TRUE
1,25,25,TRUE
2,25,25,TRUE
1,25,26,TRUE
2,25,26,TRUE
1,25,27,FALSE
2,25,27,FALSE
1,25,28,TRUE
2,25,28,TRUE
1,25,29,TRUE
2,25,29,TRUE
1,25,30,TRUE
2,25,30,TRUE
1,25,31,TRUE
2,25,31,TRUE
1,25,32,TRUE
2,25,32,TRUE
1,25,33,TRUE
2,25,33,TRUE
1,25,34,TRUE
2,25,34,TRUE
1,25,35,FALSE
2,25,35,FALSE
1,25,36,TRUE
2,25,36,TRUE
1,25,37,TRUE
2,25,37,TRUE
1,25,38,TRUE
2,25,38,TRUE
1,25,39,TRUE
2,25,39,TRUE
1,25,40,TRUE
2,25,40,TRUE
1,25,41,TRUE
2,25,41,TRUE
1,25,42,TRUE
2,25,42,TRUE
1,25,43,TRUE
2,25,43,TRUE
1,25,44,TRUE
2,25,44,TRUE
1,25,45,TRUE
2,25,45,TRUE
1,25,46,TRUE
2,25,46,TRUE
1,25,47,FALSE
2,25,47,FALSE
1,25,48,TRUE
2,25,48,TRUE
1,25,49,TRUE
2,25,49,TRUE
1,25,50,TRUE
2,25,50,TRUE
1,25,51,TRUE
2,25,51,TRUE
1,25,52,FALSE
2,25,52,FALSE
1,25,53,TRUE
2,25,53,TRUE
1,25,54,TRUE
2,25,54,TRUE
1,25,55,TRUE
2,25,55,TRUE
1,25,56,TRUE
2,25,56,TRUE
1,25,57,TRUE
2,25,57,TRUE
1,25,58,TRUE
2,25,58,TRUE
1,25,59,FALSE
2,25,59,FALSE
1,25,60,TRUE
2,25,60,TRUE
1,25,61,TRUE
2,25,61,TRUE
1,25,62,FALSE
2,25,62,FALSE
1,25,63,TRUE
2,25,63,TRUE
1,25,64,TRUE
2,25,64,TRUE
1,25,65,FALSE
2,25,65,FALSE
1,25,66,TRUE
2,25,66,TRUE
1,25,67,TRUE
2,25,67,TRUE
1,25,68,TRUE
2,25,68,TRUE
1,25,69,TRUE
2,25,69,TRUE
1,25,70,TRUE
2,25,70,TRUE
1,25,71,TRUE
2,25,71,TRUE
1,25,72,TRUE
2,25,72,TRUE
1,25,73,TRUE
2,25,73,TRUE
1,25,74,FALSE
2,25,74,FALSE
1,25,75,TRUE
2,25,75,TRUE
1,25,76,TRUE
2,25,76,TRUE
1,25,77,TRUE
2,25,77,TRUE
1,25,78,TRUE
2,25,78,TRUE
1,25,79,TRUE
2,25,79,TRUE
1,25,80,FALSE
2,25,80,FALSE
1,25,81,TRUE
2,25,81,TRUE
1,25,82,TRUE
2,25,82,TRUE
1,25,83,TRUE
2,25,83,TRUE
1,25,84,TRUE
2,25,84,TRUE
1,25,85,TRUE
2,25,85,TRUE
1,25,86,TRUE
2,25,86,TRUE
1,25,87,FALSE
2,25,87,FALSE
1,25,88,TRUE
2,25,88,TRUE
1,25,89,TRUE
2,25,89,TRUE
1,25,90,TRUE
2,25,90,TRUE
1,25,91,TRUE
2,25,91,TRUE
1,25,92,TRUE
2,25,92,TRUE
1,25,93,TRUE
2,25,93,TRUE
1,25,94,TRUE
2,25,94,TRUE
1,25,95,TRUE
2,25,95,TRUE
1,25,96,FALSE
2,25,96,FALSE
1,25,97,TRUE
2,25,97,TRUE
1,25,98,TRUE
2,25,98,TRUE
1,25,99,TRUE
2,25,99,TRUE
1,25,100,TRUE
2,25,100,TRUE
1,25,101,TRUE
2,25,101,TRUE
1,25,102,TRUE
2,25,102,TRUE
1,25,103,TRUE
2,25,103,TRUE
1,25,104,TRUE
2,25,104,TRUE
1,25,105,TRUE
2,25,105,TRUE
1,25,106,FALSE
2,25,106,FALSE
1,25,107,TRUE
2,25,107,TRUE
1,25,108,FALSE
2,25,108,FALSE
1,25,109,TRUE
2,25,109,TRUE
1,25,110,TRUE
2,25,110,TRUE
1,25,111,TRUE
2,25,111,TRUE
1,25,112,TRUE
2,25,112,TRUE
1,25,113,TRUE
2,25,113,TRUE
1,25,114,TRUE
2,25,114,TRUE
1,25,115,FALSE
2,25,115,FALSE
1,25,116,TRUE
2,25,116,TRUE
1,25,117,TRUE
2,25,117,TRUE
1,25,118,TRUE
2,25,118,TRUE
1,25,119,TRUE
2,25,119,TRUE
1,25,120,TRUE
2,25,120,TRUE
1,25,121,TRUE
2,25,121,TRUE
1,25,122,TRUE
2,25,122,TRUE
1,25,123,TRUE
2,25,123,TRUE
1,25,124,FALSE
2,25,124,FALSE
1,25,125,TRUE
2,25,125,TRUE
1,25,126,FALSE
2,25,126,FALSE
1,25,127,TRUE
2,25,127,TRUE
1,25,128,TRUE
2,25,128,TRUE
1,25,129,TRUE
2,25,129,TRUE
1,25,130,TRUE
2,25,130,TRUE
1,25,131,TRUE
2,25,131,TRUE
1,25,132,TRUE
2,25,132,TRUE
1,25,133,TRUE
2,25,133,TRUE
1,25,134,TRUE
2,25,134,TRUE
1,25,135,TRUE
2,25,135,TRUE
1,25,136,TRUE
2,25,136,TRUE
1,25,137,TRUE
2,25,137,TRUE
1,25,138,FALSE
2,25,138,FALSE
1,25,139,FALSE
2,25,139,FALSE
1,25,140,TRUE
2,25,140,TRUE
1,25,141,TRUE
2,25,141,TRUE
1,25,142,TRUE
2,25,142,TRUE
1,25,143,TRUE
2,25,143,TRUE
1,25,144,TRUE
2,25,144,TRUE
1,25,145,TRUE
2,25,145,TRUE
1,25,146,TRUE
2,25,146,TRUE
1,25,147,TRUE
2,25,147,TRUE
1,25,148,TRUE
2,25,148,TRUE
1,25,149,TRUE
2,25,149,TRUE
1,25,150,TRUE
2,25,150,TRUE
1,25,151,FALSE
2,25,151,FALSE
1,25,152,TRUE
2,25,152,TRUE
1,25,153,TRUE
2,25,153,TRUE
1,25,154,TRUE
2,25,154,TRUE
1,25,155,TRUE
2,25,155,TRUE
1,25,156,TRUE
2,25,156,TRUE
1,25,157,TRUE
2,25,157,TRUE
1,25,158,TRUE
2,25,158,TRUE
1,25,159,TRUE
2,25,159,TRUE
1,25,160,TRUE
2,25,160,TRUE
1,25,161,FALSE
2,25,161,FALSE
1,25,162,TRUE
2,25,162,TRUE
1,25,163,TRUE
2,25,163,TRUE
1,25,164,TRUE
2,25,164,TRUE
1,25,165,FALSE
2,25,165,FALSE
1,25,166,TRUE
2,25,166,TRUE
1,25,167,TRUE
2,25,167,TRUE
1,25,168,TRUE
2,25,168,TRUE
1,25,169,TRUE
2,25,169,TRUE
1,25,170,TRUE
2,25,170,TRUE
1,25,171,TRUE
2,25,171,TRUE
1,25,172,TRUE
2,25,172,TRUE
1,25,173,TRUE
2,25,173,TRUE
1,25,174,FALSE
2,25,174,FALSE
1,25,175,TRUE
2,25,175,TRUE
1,25,176,TRUE
2,25,176,TRUE
1,25,177,TRUE
2,25,177,TRUE
1,25,178,TRUE
2,25,178,TRUE
1,25,179,TRUE
2,25,179,TRUE
1,25,180,FALSE
2,25,180,FALSE
1,25,181,TRUE
2,25,181,TRUE
1,25,182,TRUE
2,25,182,TRUE
1,25,183,TRUE
2,25,183,TRUE
1,25,184,TRUE
2,25,184,TRUE
1,25,185,FALSE
2,25,185,FALSE
1,25,186,TRUE
2,25,186,TRUE
1,25,187,TRUE
2,25,187,TRUE
1,25,188,TRUE
2,25,188,TRUE
1,25,189,TRUE
2,25,189,TRUE
1,25,190,TRUE
2,25,190,TRUE
1,25,191,TRUE
2,25,191,TRUE
1,25,192,TRUE
2,25,192,TRUE
1,25,193,TRUE
2,25,193,TRUE
1,25,194,TRUE
2,25,194,TRUE
1,25,195,FALSE
2,25,195,FALSE
1,25,196,TRUE
2,25,196,TRUE
1,25,197,TRUE
2,25,197,TRUE
1,25,198,TRUE
2,25,198,TRUE
1,25,199,TRUE
2,25,199,TRUE
1,25,200,TRUE
2,25,200,TRUE
1,25,201,TRUE
2,25,201,TRUE
1,25,202,TRUE
2,25,202,TRUE
1,25,203,TRUE
2,25,203,TRUE
1,25,204,TRUE
2,25,204,TRUE
1,25,205,TRUE
2,25,205,TRUE
1,25,206,TRUE
2,25,206,TRUE
1,25,207,TRUE
2,25,207,TRUE
1,25,208,TRUE
2,25,208,TRUE
1,25,209,TRUE
2,25,209,TRUE
1,25,210,FALSE
2,25,210,FALSE
1,25,211,TRUE
2,25,211,TRUE
1,25,212,TRUE
2,25,212,TRUE
1,25,213,TRUE
2,25,213,TRUE
1,25,214,TRUE
2,25,214,TRUE
1,25,215,TRUE
2,25,215,TRUE
1,25,216,TRUE
2,25,216,TRUE
1,25,217,TRUE
2,25,217,TRUE
1,25,218,TRUE
2,25,218,TRUE
1,25,219,TRUE
2,25,219,TRUE
1,25,220,TRUE
2,25,220,TRUE
1,25,221,TRUE
2,25,221,TRUE
1,25,222,TRUE
2,25,222,TRUE
1,25,223,TRUE
2,25,223,TRUE
1,25,224,TRUE
2,25,224,TRUE
1,25,225,TRUE
2,25,225,TRUE
1,25,226,TRUE
2,25,226,TRUE
1,25,227,TRUE
2,25,227,TRUE
1,25,228,TRUE
2,25,228,TRUE
1,25,229,TRUE
2,25,229,TRUE
1,25,230,TRUE
2,25,230,TRUE
1,25,231,TRUE
2,25,231,TRUE
1,25,232,TRUE
2,25,232,TRUE
1,25,233,TRUE
2,25,233,TRUE
1,25,234,TRUE
2,25,234,TRUE
1,25,235,TRUE
2,25,235,TRUE
1,25,236,TRUE
2,25,236,TRUE
1,25,237,TRUE
2,25,237,TRUE
1,25,238,TRUE
2,25,238,TRUE
1,25,239,TRUE
2,25,239,TRUE
1,25,240,FALSE
2,25,240,FALSE
1,25,241,TRUE
2,25,241,TRUE
1,25,242,TRUE
2,25,242,TRUE
1,25,243,TRUE
2,25,243,TRUE
1,25,244,TRUE
2,25,244,TRUE
1,25,245,TRUE
2,25,245,TRUE
1,25,246,TRUE
2,25,246,TRUE
1,25,247,TRUE
2,25,247,TRUE
1,25,248,FALSE
2,25,248,FALSE
1,25,249,FALSE
2,25,249,FALSE
1,25,250,TRUE
2,25,250,TRUE
1,25,251,FALSE
2,25,251,FALSE
1,25,252,TRUE
2,25,252,TRUE
1,25,253,FALSE
2,25,253,FALSE
1,25,254,TRUE
2,25,254,TRUE
1,25,255,TRUE
2,25,255,TRUE
1,25,256,TRUE
2,25,256,TRUE
1,25,257,TRUE
2,25,257,TRUE
1,25,258,TRUE
2,25,258,TRUE
1,25,259,FALSE
2,25,259,FALSE
1,25,260,TRUE
2,25,260,TRUE
1,25,261,TRUE
2,25,261,TRUE
1,25,262,TRUE
2,25,262,TRUE
1,25,263,FALSE
2,25,263,FALSE
1,25,264,FALSE
2,25,264,FALSE
1,25,265,FALSE
2,25,265,FALSE
1,25,266,TRUE
2,25,266,TRUE
1,25,267,TRUE
2,25,267,TRUE
1,25,268,TRUE
2,25,268,TRUE
1,25,269,FALSE
2,25,269,FALSE
1,25,270,TRUE
2,25,270,TRUE
1,25,271,FALSE
2,25,271,FALSE
1,25,272,TRUE
2,25,272,TRUE
1,25,273,TRUE
2,25,273,TRUE
1,25,274,TRUE
2,25,274,TRUE
1,25,275,TRUE
2,25,275,TRUE
1,25,276,TRUE
2,25,276,TRUE
1,25,277,FALSE
2,25,277,FALSE
1,25,278,TRUE
2,25,278,TRUE
1,25,279,TRUE
2,25,279,TRUE
1,25,280,FALSE
2,25,280,FALSE
1,25,281,TRUE
2,25,281,TRUE
1,25,282,TRUE
2,25,282,TRUE
1,25,283,TRUE
2,25,283,TRUE
1,25,284,TRUE
2,25,284,TRUE
1,25,285,TRUE
2,25,285,TRUE
1,25,286,TRUE
2,25,286,TRUE
1,25,287,TRUE
2,25,287,TRUE
1,25,288,TRUE
2,25,288,TRUE
1,25,289,TRUE
2,25,289,TRUE
1,25,290,TRUE
2,25,290,TRUE
1,25,291,TRUE
2,25,291,TRUE
1,25,292,TRUE
2,25,292,TRUE
1,25,293,TRUE
2,25,293,TRUE
1,25,294,TRUE
2,25,294,TRUE
1,25,295,TRUE
2,25,295,TRUE
1,25,296,TRUE
2,25,296,TRUE
1,25,297,TRUE
2,25,297,TRUE
1,25,298,TRUE
2,25,298,TRUE
1,25,299,TRUE
2,25,299,TRUE
1,25,300,TRUE
2,25,300,TRUE
1,25,301,TRUE
2,25,301,TRUE
1,25,302,TRUE
2,25,302,TRUE
1,25,303,TRUE
2,25,303,TRUE
1,25,304,TRUE
2,25,304,TRUE
1,25,305,TRUE
2,25,305,TRUE
1,25,306,TRUE
2,25,306,TRUE
1,25,307,FALSE
2,25,307,FALSE
1,25,308,FALSE
2,25,308,FALSE
1,25,309,TRUE
2,25,309,TRUE
1,25,310,TRUE
2,25,310,TRUE
1,25,311,TRUE
2,25,311,TRUE
1,25,312,TRUE
2,25,312,TRUE
1,25,313,TRUE
2,25,313,TRUE
1,25,314,TRUE
2,25,314,TRUE
1,25,315,TRUE
2,25,315,TRUE
1,25,316,TRUE
2,25,316,TRUE
1,25,317,TRUE
2,25,317,TRUE
1,25,318,TRUE
2,25,318,TRUE
1,25,319,TRUE
2,25,319,TRUE
1,25,320,TRUE
2,25,320,TRUE
1,25,321,TRUE
2,25,321,TRUE
1,25,322,TRUE
2,25,322,TRUE
1,25,323,TRUE
2,25,323,TRUE
1,25,324,TRUE
2,25,324,TRUE
1,25,325,TRUE
2,25,325,TRUE
1,25,326,TRUE
2,25,326,TRUE
1,25,327,TRUE
2,25,327,TRUE
1,25,328,TRUE
2,25,328,TRUE
1,25,329,FALSE
2,25,329,FALSE
1,25,330,TRUE
2,25,330,TRUE
1,25,331,TRUE
2,25,331,TRUE
1,25,332,TRUE
2,25,332,TRUE
1,25,333,TRUE
2,25,333,TRUE
1,25,334,TRUE
2,25,334,TRUE
1,25,335,TRUE
2,25,335,TRUE
1,25,336,FALSE
2,25,336,FALSE
1,25,337,FALSE
2,25,337,FALSE
1,25,338,TRUE
2,25,338,TRUE
1,25,339,TRUE
2,25,339,TRUE
1,25,340,TRUE
2,25,340,TRUE
1,25,341,TRUE
2,25,341,TRUE
1,25,342,TRUE
2,25,342,TRUE
1,25,343,TRUE
2,25,343,TRUE
1,25,344,TRUE
2,25,344,TRUE
1,25,345,TRUE
2,25,345,TRUE
1,25,346,TRUE
2,25,346,TRUE
1,25,347,TRUE
2,25,347,TRUE
1,25,348,TRUE
2,25,348,TRUE
1,25,349,TRUE
2,25,349,TRUE
1,25,350,TRUE
2,25,350,TRUE
1,25,351,TRUE
2,25,351,TRUE
1,25,352,TRUE
2,25,352,TRUE
1,25,353,TRUE
2,25,353,TRUE
1,25,354,TRUE
2,25,354,TRUE
1,25,355,TRUE
2,25,355,TRUE
1,25,356,TRUE
2,25,356,TRUE
1,25,357,TRUE
2,25,357,TRUE
1,25,358,TRUE
2,25,358,TRUE
1,25,359,TRUE
2,25,359,TRUE
1,25,360,TRUE
2,25,360,TRUE
1,25,361,FALSE
2,25,361,FALSE
1,25,362,TRUE
2,25,362,TRUE
1,25,363,TRUE
2,25,363,TRUE
1,25,364,TRUE
2,25,364,TRUE
1,25,365,TRUE
2,25,365,TRUE
1,25,366,TRUE
2,25,366,TRUE
1,25,367,TRUE
2,25,367,TRUE
1,25,368,TRUE
2,25,368,TRUE
1,25,369,FALSE
2,25,369,FALSE
1,25,370,TRUE
2,25,370,TRUE
1,25,371,TRUE
2,25,371,TRUE
1,25,372,TRUE
2,25,372,TRUE
1,25,373,TRUE
2,25,373,TRUE
1,25,374,TRUE
2,25,374,TRUE
1,25,375,TRUE
2,25,375,TRUE
1,25,376,TRUE
2,25,376,TRUE
1,25,377,TRUE
2,25,377,TRUE
1,25,378,TRUE
2,25,378,TRUE
1,25,379,TRUE
2,25,379,TRUE
1,25,380,TRUE
2,25,380,TRUE
1,25,381,TRUE
2,25,381,TRUE
1,25,382,TRUE
2,25,382,TRUE
1,25,383,TRUE
2,25,383,TRUE
1,25,384,TRUE
2,25,384,TRUE
1,25,385,TRUE
2,25,385,TRUE
1,25,386,TRUE
2,25,386,TRUE
1,25,387,TRUE
2,25,387,TRUE
1,25,388,TRUE
2,25,388,TRUE
1,25,389,TRUE
2,25,389,TRUE
1,25,390,TRUE
2,25,390,TRUE
1,25,391,TRUE
2,25,391,TRUE
1,25,392,TRUE
2,25,392,TRUE
1,25,393,TRUE
2,25,393,TRUE
1,25,394,TRUE
2,25,394,TRUE
1,25,395,TRUE
2,25,395,TRUE
1,25,396,TRUE
2,25,396,TRUE
1,25,397,FALSE
2,25,397,FALSE
1,25,398,TRUE
2,25,398,TRUE
1,25,399,TRUE
2,25,399,TRUE
1,25,400,TRUE
2,25,400,TRUE
1,25,401,TRUE
2,25,401,TRUE
1,25,402,TRUE
2,25,402,TRUE
1,25,403,TRUE
2,25,403,TRUE
1,25,404,TRUE
2,25,404,TRUE
1,25,405,TRUE
2,25,405,TRUE
1,25,406,TRUE
2,25,406,TRUE
1,25,407,TRUE
2,25,407,TRUE
1,25,408,TRUE
2,25,408,TRUE
1,25,409,TRUE
2,25,409,TRUE
1,25,410,TRUE
2,25,410,TRUE
1,25,411,TRUE
2,25,411,TRUE
1,25,412,TRUE
2,25,412,TRUE
1,25,413,TRUE
2,25,413,TRUE
1,25,414,TRUE
2,25,414,TRUE
1,25,415,TRUE
2,25,415,TRUE
1,25,416,TRUE
2,25,416,TRUE
1,25,417,TRUE
2,25,417,TRUE
1,25,418,TRUE
2,25,418,TRUE
1,25,419,TRUE
2,25,419,TRUE
1,25,420,TRUE
2,25,420,TRUE
1,25,421,TRUE
2,25,421,TRUE
1,25,422,TRUE
2,25,422,TRUE
1,25,423,TRUE
2,25,423,TRUE
1,25,424,TRUE
2,25,424,TRUE
1,25,425,TRUE
2,25,425,TRUE
1,25,426,TRUE
2,25,426,TRUE
1,25,427,TRUE
2,25,427,TRUE
1,25,428,TRUE
2,25,428,TRUE
1,25,429,TRUE
2,25,429,TRUE
1,25,430,TRUE
2,25,430,TRUE
1,25,431,TRUE
2,25,431,TRUE
1,25,432,TRUE
2,25,432,TRUE
1,25,433,FALSE
2,25,433,FALSE
1,25,434,FALSE
2,25,434,FALSE
1,25,435,FALSE
2,25,435,FALSE
1,25,436,TRUE
2,25,436,TRUE
1,25,437,TRUE
2,25,437,TRUE
1,25,438,TRUE
2,25,438,TRUE
1,25,439,FALSE
2,25,439,FALSE
1,25,440,TRUE
2,25,440,TRUE
1,25,441,TRUE
2,25,441,TRUE
1,25,442,FALSE
2,25,442,FALSE
1,25,443,TRUE
2,25,443,TRUE
1,25,444,TRUE
2,25,444,TRUE
1,25,445,FALSE
2,25,445,FALSE
1,25,446,FALSE
2,25,446,FALSE
1,25,447,TRUE
2,25,447,TRUE
1,25,448,FALSE
2,25,448,FALSE
1,25,449,FALSE
2,25,449,FALSE
1,25,450,TRUE
2,25,450,TRUE
1,25,451,TRUE
2,25,451,TRUE
1,25,452,TRUE
2,25,452,TRUE
1,25,453,TRUE
2,25,453,TRUE
1,25,454,TRUE
2,25,454,TRUE
1,25,455,TRUE
2,25,455,TRUE
1,25,456,TRUE
2,25,456,TRUE
1,25,457,TRUE
2,25,457,TRUE
1,25,458,TRUE
2,25,458,TRUE
1,25,459,TRUE
2,25,459,TRUE
1,25,460,TRUE
2,25,460,TRUE
1,25,461,TRUE
2,25,461,TRUE
1,25,462,TRUE
2,25,462,TRUE
1,25,463,TRUE
2,25,463,TRUE
1,25,464,TRUE
2,25,464,TRUE
1,25,465,TRUE
2,25,465,TRUE
1,25,466,TRUE
2,25,466,TRUE
1,25,467,TRUE
2,25,467,TRUE
1,25,468,TRUE
2,25,468,TRUE
1,25,469,TRUE
2,25,469,TRUE
1,25,470,TRUE
2,25,470,TRUE
1,25,471,TRUE
2,25,471,TRUE
1,25,472,TRUE
2,25,472,TRUE
1,25,473,TRUE
2,25,473,TRUE
1,25,474,TRUE
2,25,474,TRUE
1,25,475,TRUE
2,25,475,TRUE
1,25,476,TRUE
2,25,476,TRUE
1,25,477,TRUE
2,25,477,TRUE
1,25,478,TRUE
2,25,478,TRUE
1,25,479,TRUE
2,25,479,TRUE
1,25,480,TRUE
2,25,480,TRUE
1,25,481,FALSE
2,25,481,FALSE
1,25,482,TRUE
2,25,482,TRUE
1,25,483,TRUE
2,25,483,TRUE
1,25,484,TRUE
2,25,484,TRUE
1,25,485,TRUE
2,25,485,TRUE
1,25,486,TRUE
2,25,486,TRUE
1,25,487,TRUE
2,25,487,TRUE
1,25,488,FALSE
2,25,488,FALSE
1,25,489,TRUE
2,25,489,TRUE
1,25,490,TRUE
2,25,490,TRUE
1,25,491,TRUE
2,25,491,TRUE
1,25,492,TRUE
2,25,492,TRUE
1,25,493,TRUE
2,25,493,TRUE
1,25,494,TRUE
2,25,494,TRUE
1,25,495,TRUE
2,25,495,TRUE
1,25,496,TRUE
2,25,496,TRUE
1,25,497,TRUE
2,25,497,TRUE
1,25,498,TRUE
2,25,498,TRUE
1,25,499,TRUE
2,25,499,TRUE
1,25,500,TRUE
2,25,500,TRUE
1,25,501,TRUE
2,25,501,TRUE
1,25,502,TRUE
2,25,502,TRUE
1,25,503,FALSE
2,25,503,FALSE
1,25,504,TRUE
2,25,504,TRUE
1,25,505,TRUE
2,25,505,TRUE
1,25,506,TRUE
2,25,506,TRUE
1,25,507,FALSE
2,25,507,FALSE
1,25,508,TRUE
2,25,508,TRUE
1,25,509,TRUE
2,25,509,TRUE
1,25,510,TRUE
2,25,510,TRUE
1,25,511,TRUE
2,25,511,TRUE
1,25,512,TRUE
2,25,512,TRUE
1,25,513,TRUE
2,25,513,TRUE
1,25,514,TRUE
2,25,514,TRUE
1,25,515,TRUE
2,25,515,TRUE
1,25,516,FALSE
2,25,516,FALSE
1,25,517,TRUE
2,25,517,TRUE
1,25,518,TRUE
2,25,518,TRUE
1,25,519,TRUE
2,25,519,TRUE
1,25,520,TRUE
2,25,520,TRUE
1,25,521,TRUE
2,25,521,TRUE
1,25,522,TRUE
2,25,522,TRUE
1,25,523,TRUE
2,25,523,TRUE
1,25,524,TRUE
2,25,524,TRUE
1,25,525,FALSE
2,25,525,FALSE
1,25,526,TRUE
2,25,526,TRUE
1,25,527,TRUE
2,25,527,TRUE
1,25,528,FALSE
2,25,528,FALSE
1,25,529,TRUE
2,25,529,TRUE
1,25,530,FALSE
2,25,530,FALSE
1,25,531,TRUE
2,25,531,TRUE
1,25,532,TRUE
2,25,532,TRUE
1,25,533,TRUE
2,25,533,TRUE
1,25,534,TRUE
2,25,534,TRUE
1,25,535,TRUE
2,25,535,TRUE
1,25,536,TRUE
2,25,536,TRUE
1,25,537,FALSE
2,25,537,FALSE
1,25,538,TRUE
2,25,538,TRUE
1,25,539,TRUE
2,25,539,TRUE
1,25,540,TRUE
2,25,540,TRUE
1,25,541,TRUE
